Date(MM/DD/YYYY),Time(hh:mm:ss),Timestamp(Ms),Temp(Raw),ACCELX,ACCELY,ACCELZ,MAGX,MAGY,MAGZ,Sats,HDOP,Latitude,Longitude,FixAge,DateUTC,TimeUTC,DateAge,Altitude,Course,Speed
07/11/2018,05:34:44,15225,0,1488.00,976.00,-4832.00,89.00,-10.00,-327.00,,,,,,,,,,,
07/11/2018,05:34:44,15241,0,1536.00,1120.00,-4912.00,85.00,-7.00,-323.00,,,,,,,,,,,
07/11/2018,05:34:44,15257,0,1504.00,928.00,-5040.00,85.00,-4.00,-318.00,,,,,,,,,,,
07/11/2018,05:34:44,15273,0,1280.00,1328.00,-4464.00,83.00,-3.00,-318.00,,,,,,,,,,,
07/11/2018,05:34:44,15289,0,912.00,1744.00,-3808.00,83.00,1.00,-317.00,,,,,,,,,,,
07/11/2018,05:34:44,15305,0,752.00,1792.00,-3984.00,81.00,-1.00,-318.00,,,,,,,,,,,
07/11/2018,05:34:44,15321,0,816.00,320.00,-3408.00,78.00,-4.00,-320.00,,,,,,,,,,,
07/11/2018,05:34:44,15337,0,864.00,368.00,-3200.00,73.00,-9.00,-325.00,,,,,,,,,,,
07/11/2018,05:34:44,15353,0,768.00,1200.00,-3488.00,67.00,-11.00,-324.00,,,,,,,,,,,
07/11/2018,05:34:44,15369,0,608.00,1696.00,-3424.00,55.00,-14.00,-323.00,,,,,,,,,,,
07/11/2018,05:34:44,15385,0,1008.00,1776.00,-3712.00,50.00,-13.00,-323.00,,,,,,,,,,,
07/11/2018,05:34:44,15401,0,752.00,1376.00,-3936.00,53.00,-13.00,-320.00,,,,,,,,,,,
07/11/2018,05:34:44,15417,0,752.00,1232.00,-3968.00,54.00,-13.00,-320.00,,,,,,,,,,,
07/11/2018,05:34:44,15433,0,832.00,1328.00,-3472.00,57.00,-11.00,-322.00,,,,,,,,,,,
07/11/2018,05:34:44,15449,0,832.00,1440.00,-2912.00,58.00,-10.00,-322.00,,,,,,,,,,,
07/11/2018,05:34:44,15465,0,1072.00,1344.00,-2896.00,60.00,-11.00,-322.00,,,,,,,,,,,
07/11/2018,05:34:44,15481,0,1136.00,1392.00,-3328.00,62.00,-11.00,-324.00,,,,,,,,,,,
07/11/2018,05:34:44,15497,0,800.00,1600.00,-3728.00,65.00,-13.00,-327.00,,,,,,,,,,,
07/11/2018,05:34:44,15513,0,544.00,1584.00,-3648.00,66.00,-14.00,-328.00,,,,,,,,,,,
07/11/2018,05:34:44,15529,0,800.00,1392.00,-3344.00,72.00,-16.00,-331.00,,,,,,,,,,,
